ORAN;DURUM;PROGRAM
1;AKTİF;ACİL DURUM VE AFET YÖNETİMİ                                                                         
1;AKTİF;TÜRK DİLİ VE EDEBİYATI                                                                              
1;AKTİF;ÇALIŞMA EKONOMİSİ VE ENDÜSTRİ İLİŞKİLERİ                                                            
1;AKTİF;TÜRK DİLİ VE EDEBİYATI                                                                              
1;AKTİF;SOSYAL MEDYA YÖNETİCİLİĞİ                                                                           
1;AKTİF;TÜRK DİLİ VE EDEBİYATI                                                                              
1;AKTİF;TURİZM İŞLETMECİLİĞİ                                                                                
1;AKTİF;SOSYAL HİZMET                                                                                       
1;AKTİF;SOSYAL HİZMET                                                                                       
1;PASİF;YÖNETİM BİLİŞİM SİSTEMLERİ                                                                          
1;PASİF;SAĞLIK YÖNETİMİ                                                                                     
1;PASİF;İŞ SAĞLIĞI VE GÜVENLİĞİ                                                                             
1;PASİF;FELSEFE                                                                                             
1;PASİF;TARİH                                                                                               
1;PASİF;BİLGİSAYAR PROGRAMCILIĞI                                                                            
1;PASİF;İŞLETME                                                                                             
1;PASİF;İNGİLİZCE ÖĞRETMENLİĞİ                                                                              
1;PASİF;YÖNETİM BİLİŞİM SİSTEMLERİ                                                                          
1;PASİF;SAĞLIK YÖNETİMİ                                                                                     
1;PASİF;İŞ SAĞLIĞI VE GÜVENLİĞİ                                                                             
1;PASİF;SOSYAL HİZMETLER                                                                                    
1;PASİF;TARİH                                                                                               
1;PASİF;TARIM TEKNOLOJİSİ                                                                                   
1;PASİF;İŞLETME                                                                                             
1;PASİF;TIBBİ DOKÜMANTASYON VE SEKRETERLİK                                                                  
1;PASİF;YÖNETİM BİLİŞİM SİSTEMLERİ                                                                          
1;PASİF;İŞLETME YÖNETİMİ                                                                                    
1;PASİF;İŞ SAĞLIĞI VE GÜVENLİĞİ                                                                             
1;PASİF;SOSYAL HİZMETLER                                                                                    
1;PASİF;SOSYOLOJİ                                                                                           
1;PASİF;TARIM TEKNOLOJİSİ                                                                                   
1;PASİF;TÜRK DİLİ VE EDEBİYATI                                                                              
1;PASİF;TIBBİ DOKÜMANTASYON VE SEKRETERLİK                                                                  
1;PASİF;YÖNETİM BİLİŞİM SİSTEMLERİ                                                                          
1;PASİF;SAĞLIK KURUMLARI İŞLETMECİLİĞİ                                                                      
1;PASİF;MARKA İLETİŞİMİ                                                                                     
1;PASİF;MUHASEBE VE VERGİ UYGULAMALARI                                                                      
1;PASİF;SOSYOLOJİ                                                                                           
1;PASİF;TARIM TEKNOLOJİSİ                                                                                   
1;PASİF;TÜRK DİLİ VE EDEBİYATI                                                                              
1;PASİF;MUHASEBE VE VERGİ UYGULAMALARI                                                                      
1;PASİF;MALİYE                                                                                              
1;PASİF;SAĞLIK KURUMLARI İŞLETMECİLİĞİ                                                                      
1;PASİF;İLAHİYAT (ARAPÇA)                                                                                   
1;PASİF;İLAHİYAT                                                                                            
1;PASİF;BÜRO YÖNETİMİ VE YÖNETİCİ ASİSTANLIĞI                                                               
1;PASİF;HALKLA İLİŞKİLER VE TANITIM                                                                         
1;PASİF;İŞLETME                                                                                             
1;PASİF;İLAHİYAT                                                                                            
1;PASİF;SİYASET BİLİMİ VE KAMU YÖNETİMİ                                                                     
1;PASİF;SAĞLIK KURUMLARI İŞLETMECİLİĞİ                                                                      
1;PASİF;SİYASET BİLİMİ VE KAMU YÖNETİMİ                                                                     
1;PASİF;İLAHİYAT                                                                                            
1;PASİF;EMLAK YÖNETİMİ                                                                                      
1;PASİF;HALKLA İLİŞKİLER VE TANITIM                                                                         
1;PASİF;EMLAK YÖNETİMİ                                                                                      
1;PASİF;İLAHİYAT                                                                                            
1;PASİF;WEB TASARIMI VE KODLAMA                                                                             
1;PASİF;BANKACILIK VE SİGORTACILIK                                                                          
1;PASİF;MENKUL KIYMETLER VE SERMAYE PİYASASI                                                                
1;PASİF;İLAHİYAT                                                                                            
1;PASİF;ADALET                                                                                              
2;AKTİF;SAĞLIK KURUMLARI İŞLETMECİLİĞİ                                                                      
2;AKTİF;FOTOĞRAFÇILIK VE KAMERAMANLIK                                                                       
2;AKTİF;SOSYAL HİZMETLER                                                                                    
2;AKTİF;İŞ SAĞLIĞI VE GÜVENLİĞİ                                                                             
2;AKTİF;BANKACILIK VE SİGORTACILIK                                                                          
2;AKTİF;LABORANT VE VETERİNER SAĞLIK                                                                        
2;AKTİF;İLAHİYAT                                                                                            
2;AKTİF;ADALET                                                                                              
2;AKTİF;LOJİSTİK                                                                                            
2;AKTİF;MALİYE                                                                                              
2;AKTİF;SOSYAL HİZMETLER                                                                                    
2;AKTİF;İŞ SAĞLIĞI VE GÜVENLİĞİ                                                                             
2;AKTİF;HALKLA İLİŞKİLER VE TANITIM                                                                         
2;AKTİF;LABORANT VE VETERİNER SAĞLIK                                                                        
2;AKTİF;İLAHİYAT                                                                                            
2;AKTİF;WEB TASARIMI VE KODLAMA                                                                             
2;AKTİF;LOJİSTİK                                                                                            
2;AKTİF;MALİYE                                                                                              
2;AKTİF;SOSYAL HİZMETLER                                                                                    
2;AKTİF;İŞ SAĞLIĞI VE GÜVENLİĞİ                                                                             
2;AKTİF;HALKLA İLİŞKİLER VE TANITIM                                                                         
2;AKTİF;SOSYOLOJİ                                                                                           
2;AKTİF;İLAHİYAT                                                                                            
2;AKTİF;EMLAK YÖNETİMİ                                                                                      
2;AKTİF;ELEKTRİK ENERJİSİ ÜRETİM İLETİM VE DAĞITIMI
2;AKTİF;MALİYE                                                                                              
2;AKTİF;SOSYAL HİZMETLER                                                                                    
2;AKTİF;İŞ SAĞLIĞI VE GÜVENLİĞİ                                                                             
2;AKTİF;YAŞLI BAKIMI                                                                                        
2;AKTİF;SOSYOLOJİ                                                                                           
2;AKTİF;İLAHİYAT                                                                                            
2;AKTİF;EMLAK YÖNETİMİ                                                                                      
2;AKTİF;İŞLETME YÖNETİMİ                                                                                    
2;AKTİF;HALKLA İLİŞKİLER VE REKLAMCILIK                                                                     
2;AKTİF;SOSYAL MEDYA YÖNETİCİLİĞİ                                                                           
2;AKTİF;EMLAK YÖNETİMİ                                                                                      
2;AKTİF;İNSAN KAYNAKLARI YÖNETİMİ                                                                           
2;AKTİF;SOSYOLOJİ                                                                                           
2;AKTİF;İLAHİYAT                                                                                            
2;AKTİF;ADALET                                                                                              
2;AKTİF;İKTİSAT                                                                                             
2;AKTİF;HALKLA İLİŞKİLER VE REKLAMCILIK                                                                     
2;AKTİF;SOSYAL MEDYA YÖNETİCİLİĞİ                                                                           
2;AKTİF;ADALET                                                                                              
2;AKTİF;HALKLA İLİŞKİLER VE TANITIM                                                                         
2;AKTİF;SOSYOLOJİ                                                                                           
2;AKTİF;İLAHİYAT                                                                                            
2;AKTİF;ADALET                                                                                              
2;AKTİF;İKTİSAT                                                                                             
2;AKTİF;HALKLA İLİŞKİLER VE REKLAMCILIK                                                                     
2;AKTİF;FELSEFE                                                                                             
2;AKTİF;SİYASET BİLİMİ VE KAMU YÖNETİMİ                                                                     
2;AKTİF;HALKLA İLİŞKİLER VE TANITIM                                                                         
2;AKTİF;SOSYOLOJİ                                                                                           
2;AKTİF;İLAHİYAT                                                                                            
2;AKTİF;SİYASET BİLİMİ VE KAMU YÖNETİMİ                                                                     
2;AKTİF;AŞÇILIK                                                                                             
2;AKTİF;YÖNETİM BİLİŞİM SİSTEMLERİ                                                                          
2;AKTİF;FELSEFE                                                                                             
2;AKTİF;SİYASET BİLİMİ VE KAMU YÖNETİMİ                                                                     
2;AKTİF;HALKLA İLİŞKİLER VE TANITIM                                                                         
2;AKTİF;SOSYOLOJİ                                                                                           
2;AKTİF;İLAHİYAT                                                                                            
2;AKTİF;SİYASET BİLİMİ VE KAMU YÖNETİMİ                                                                     
2;AKTİF;AŞÇILIK                                                                                             
2;AKTİF;YÖNETİM BİLİŞİM SİSTEMLERİ                                                                          
2;AKTİF;FELSEFE                                                                                             
2;AKTİF;İŞLETME                                                                                             
2;AKTİF;İNSAN KAYNAKLARI YÖNETİMİ                                                                           
2;AKTİF;SOSYOLOJİ                                                                                           
2;AKTİF;TIBBİ DOKÜMANTASYON VE SEKRETERLİK                                                                  
2;AKTİF;SİYASET BİLİMİ VE KAMU YÖNETİMİ                                                                     
2;AKTİF;AŞÇILIK                                                                                             
2;AKTİF;YÖNETİM BİLİŞİM SİSTEMLERİ                                                                          
2;AKTİF;ACİL DURUM VE AFET YÖNETİMİ                                                                         
2;AKTİF;SİYASET BİLİMİ VE KAMU YÖNETİMİ                                                                     
2;AKTİF;İNSAN KAYNAKLARI YÖNETİMİ                                                                           
2;AKTİF;TARİH                                                                                               
2;AKTİF;TIBBİ DOKÜMANTASYON VE SEKRETERLİK                                                                  
2;AKTİF;İŞLETME                                                                                             
2;AKTİF;SAĞLIK YÖNETİMİ                                                                                     
2;AKTİF;YÖNETİM BİLİŞİM SİSTEMLERİ                                                                          
2;AKTİF;ACİL DURUM VE AFET YÖNETİMİ                                                                         
2;AKTİF;İŞLETME                                                                                             
2;AKTİF;BİLGİSAYAR PROGRAMCILIĞI                                                                            
2;AKTİF;İŞLETME                                                                                             
2;AKTİF;TIBBİ DOKÜMANTASYON VE SEKRETERLİK                                                                  
2;AKTİF;İŞLETME                                                                                             
2;AKTİF;SAĞLIK YÖNETİMİ                                                                                     
2;AKTİF;SOSYAL HİZMETLER                                                                                    
2;AKTİF;BİLGİSAYAR PROGRAMCILIĞI                                                                            
2;AKTİF;TIBBİ DOKÜMANTASYON VE SEKRETERLİK                                                                  
2;AKTİF;BİLGİSAYAR PROGRAMCILIĞI                                                                            
2;AKTİF;SOSYAL HİZMETLER                                                                                    
2;AKTİF;BİLGİSAYAR PROGRAMCILIĞI                                                                            
2;AKTİF;ÇALIŞMA EKONOMİSİ VE ENDÜSTRİ İLİŞKİLERİ                                                            
2;AKTİF;TARIM TEKNOLOJİSİ                                                                                   
2;AKTİF;SOSYAL HİZMETLER                                                                                    
2;AKTİF;COĞRAFİ BİLGİ SİSTEMLERİ                                                                            
2;AKTİF;ENGELLİ BAKIMI VE REHABİLİTASYON                                                                    
2;AKTİF;BİLGİSAYAR PROGRAMCILIĞI                                                                            
2;AKTİF;BİLGİSAYAR PROGRAMCILIĞI                                                                            
2;AKTİF;ULUSLARARASI İLİŞKİLER                                                                              
2;AKTİF;ULUSLARARASI İLİŞKİLER                                                                              
2;AKTİF;ULUSLARARASI İLİŞKİLER                                                                              
2;AKTİF;ULUSLARARASI İLİŞKİLER                                                                              
2;AKTİF;ULUSLARARASI TİCARET VE LOJİSTİK                                                                    
2;AKTİF;ULUSLARARASI TİCARET VE LOJİSTİK                                                                    
2;AKTİF;ULUSLARARASI TİCARET VE LOJİSTİK                                                                    
2;PASİF;TARİH                                                                                               
2;PASİF;ÇALIŞMA EKONOMİSİ VE ENDÜSTRİ İLİŞKİLERİ                                                            
2;PASİF;İŞ SAĞLIĞI VE GÜVENLİĞİ                                                                             
2;PASİF;SAĞLIK YÖNETİMİ                                                                                     
2;PASİF;YÖNETİM BİLİŞİM SİSTEMLERİ                                                                          
2;PASİF;ACİL DURUM VE AFET YÖNETİMİ                                                                         
2;PASİF;TÜRK DİLİ VE EDEBİYATI                                                                              
2;PASİF;ULUSLARARASI İLİŞKİLER                                                                              
2;PASİF;TARİH                                                                                               
2;PASİF;ÇALIŞMA EKONOMİSİ VE ENDÜSTRİ İLİŞKİLERİ                                                            
2;PASİF;TÜRK DİLİ VE EDEBİYATI                                                                              
2;PASİF;SAĞLIK KURUMLARI İŞLETMECİLİĞİ                                                                      
2;PASİF;YÖNETİM BİLİŞİM SİSTEMLERİ                                                                          
2;PASİF;SOSYAL MEDYA YÖNETİCİLİĞİ                                                                           
2;PASİF;TÜRK DİLİ VE EDEBİYATI                                                                              
2;PASİF;ENGELLİ BAKIMI VE REHABİLİTASYON                                                                    
2;PASİF;TARİH                                                                                               
2;PASİF;TIBBİ DOKÜMANTASYON VE SEKRETERLİK                                                                  
2;PASİF;İŞLETME                                                                                             
2;PASİF;SAĞLIK KURUMLARI İŞLETMECİLİĞİ                                                                      
2;PASİF;MALİYE                                                                                              
2;PASİF;ACİL DURUM VE AFET YÖNETİMİ                                                                         
2;PASİF;İŞLETME                                                                                             
2;PASİF;BİLGİSAYAR PROGRAMCILIĞI                                                                            
2;PASİF;SOSYOLOJİ                                                                                           
2;PASİF;TIBBİ DOKÜMANTASYON VE SEKRETERLİK                                                                  
2;PASİF;İŞLETME                                                                                             
2;PASİF;SAĞLIK KURUMLARI İŞLETMECİLİĞİ                                                                      
2;PASİF;SOSYOLOJİ                                                                                           
2;PASİF;FELSEFE                                                                                             
2;PASİF;SİYASET BİLİMİ VE KAMU YÖNETİMİ                                                                     
2;PASİF;BİLGİSAYAR PROGRAMCILIĞI                                                                            
2;PASİF;LABORANT VE VETERİNER SAĞLIK                                                                        
2;PASİF;TIBBİ DOKÜMANTASYON VE SEKRETERLİK                                                                  
